tet(H)	APH(3')-Ia	Erm(42)	APH(6)-Id	floR	sul2	APH(3'')-Ib	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	ROB-1	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin
SRR5133040.1	+	+	+	+	+	+	+	+	-	+
SRR5133044.1	+	+	+	+	-	+	+	+	-	+
SRR5133051.1	+	+	+	+	+	+	+	+	-	+
SRR5133052.1	+	+	+	+	+	+	+	+	-	+
SRR5133053.1	+	+	+	+	+	+	+	+	-	+
SRR5133057.1	+	+	+	+	-	+	+	+	-	+
SRR5133063.1	+	+	+	+	+	+	+	+	-	+
SRR5133065.1	+	+	+	+	+	+	+	+	+	+
SRR5133073.1	+	+	+	+	+	+	+	+	-	+
SRR5133074.1	+	+	+	+	+	+	+	+	-	+
SRR5133077.1	+	+	+	+	-	+	+	+	-	+
SRR5133080.1	+	+	+	+	+	+	+	+	-	+
SRR5133084.1	+	+	+	+	-	+	+	+	-	+
SRR5133086.1	+	+	+	+	+	+	+	+	-	+
SRR5133087.1	+	+	+	+	+	+	+	+	-	+
SRR5133094.1	+	+	+	+	+	+	+	+	-	+
SRR5133106.1	+	+	+	+	+	+	+	+	-	+
SRR5133109.1	+	+	+	+	+	+	+	+	-	+
SRR5133110.1	+	+	+	+	+	+	+	+	-	+
SRR5133115.1	+	+	+	+	+	+	+	+	-	+
SRR5133120.1	+	+	+	+	+	+	+	+	-	+
SRR5133122.1	+	+	+	+	+	+	+	+	-	+
SRR5133124.1	+	+	+	+	+	+	+	+	-	+
SRR5133125.1	+	+	+	+	+	+	+	+	-	+
SRR5133135.1	+	+	+	+	+	+	+	+	-	+
